,BZCAT5 Source name,RA (J2000.0),Dec (J2000.0)
143,5BZBJ0054-2455,00 54 46.74,-24 55 28.99
144,5BZGJ0056-0936,00 56 20.05,-09 36 30.59
145,5BZBJ0056-2117,00 56 32.27,-21 17 07.9
146,5BZBJ0056+1625,00 56 55.25,+16 25 13.51
147,5BZQJ0057-0024,00 57 16.98,-00 24 32.61
148,5BZBJ0057-2212,00 57 19.25,-22 12 37.11
149,5BZBJ0058-3234,00 58 02.21,-32 34 20.6
150,5BZQJ0058-0539,00 58 05.07,-05 39 52.3
151,5BZBJ0058+1723,00 58 16.78,+17 23 13.48
152,5BZUJ0058+3311,00 58 32.05,+33 11 17.41
153,5BZQJ0058+0620,00 58 33.79,+06 20 06.39
154,5BZUJ0058-5659,00 58 46.57,-56 59 11.5
155,5BZBJ0058-5219,00 58 55.85,-52 19 28.09
156,5BZQJ0059+0006,00 59 05.51,+00 06 51.69
157,5BZGJ0059-0150,00 59 16.91,-01 50 17.69
158,5BZQJ0100-3337,01 00 09.29,-33 37 32.19
159,5BZUJ0100+0745,01 00 20.8,+07 45 51.4
160,5BZQJ0100+3345,01 00 38.28,+33 45 06.19
161,5BZBJ0100-0055,01 00 58.18,-00 55 47.38
162,5BZQJ0102-8012,01 02 14.81,-80 12 39.38
163,5BZQJ0102-7546,01 02 18.59,-75 46 50.98
164,5BZQJ0102+4214,01 02 27.11,+42 14 19.28
165,5BZUJ0102+5824,01 02 45.76,+58 24 11.08
166,5BZQJ0102-2646,01 02 56.34,-26 46 36.08
167,5BZGJ0103+1526,01 03 26.01,+15 26 24.79
168,5BZGJ0103+4322,01 03 28.85,+43 22 59.91
169,5BZUJ0103-6439,01 03 33.71,-64 39 07.59
170,5BZQJ0104-2416,01 04 58.19,-24 16 28.41
171,5BZBJ0105+3928,01 05 09.29,+39 28 15.31
172,5BZUJ0106+3402,01 06 00.29,+34 02 03.01
173,5BZGJ0106+2539,01 06 10.97,+25 39 30.49
174,5BZQJ0106-0155,01 06 22.98,-01 55 38.38
175,5BZQJ0106-2718,01 06 26.08,-27 18 11.8
176,5BZQJ0106-1034,01 06 44.15,-10 34 10.3
177,5BZQJ0106-4034,01 06 45.11,-40 34 19.99
178,5BZQJ0107+2611,01 07 47.88,+26 11 08.59
179,5BZQJ0108-0037,01 08 26.83,-00 37 24.2
180,5BZQJ0108+0135,01 08 38.76,+01 35 00.31
181,5BZBJ0109+1816,01 09 08.17,+18 16 07.5
182,5BZQJ0109+6133,01 09 46.33,+61 33 30.49
183,5BZGJ0110+4149,01 10 04.79,+41 49 50.91
184,5BZBJ0110-0047,01 10 12.66,-00 47 46.78
185,5BZUJ0110+6805,01 10 12.86,+68 05 41.2
186,5BZBJ0110-0415,01 10 30.89,-04 15 30.99
187,5BZQJ0110-1648,01 10 35.51,-16 48 27.68
188,5BZBJ0110-1255,01 10 49.97,-12 55 03.5
189,5BZQJ0110-0741,01 10 50.02,-07 41 41.1
190,5BZBJ0111+0536,01 11 30.18,+05 36 27.28
191,5BZUJ0111+3906,01 11 37.31,+39 06 28.11
192,5BZQJ0111-1317,01 11 56.86,-13 17 01.1
193,5BZBJ0112+2244,01 12 05.81,+22 44 38.79
194,5BZQJ0112+2020,01 12 10.19,+20 20 21.8
195,5BZQJ0112+3522,01 12 12.94,+35 22 19.3
196,5BZQJ0112+3818,01 12 18.05,+38 18 56.91
197,5BZQJ0112-6634,01 12 18.9,-66 34 45.19
198,5BZBJ0112-3201,01 12 32.76,-32 01 42.09
199,5BZQJ0112+3208,01 12 50.33,+32 08 17.41
200,5BZQJ0113-3551,01 13 15.84,-35 51 47.91
201,5BZQJ0113+4948,01 13 26.99,+49 48 24.01
202,5BZGJ0113+0222,01 13 43.13,+02 22 17.29
203,5BZQJ0113+1324,01 13 54.5,+13 24 52.48
204,5BZBJ0114+1325,01 14 52.77,+13 25 37.48
