,BZCAT5 Source name,RA (J2000.0),Dec (J2000.0)
896,5BZBJ0650+2502,06 50 46.48,+25 02 59.6
897,5BZQJ0650+5616,06 50 48.15,+56 16 34.49
898,5BZQJ0653+3705,06 53 58.27,+37 05 40.59
899,5BZQJ0654+5042,06 54 22.08,+50 42 23.9
900,5BZQJ0654+4514,06 54 23.7,+45 14 23.49
901,5BZGJ0654+4247,06 54 43.52,+42 47 58.7
902,5BZGJ0656+4237,06 56 10.66,+42 37 02.78
903,5BZQJ0656-0323,06 56 11.11,-03 23 06.79
904,5BZBJ0656-2403,06 56 22.67,-24 03 19.51
905,5BZQJ0657+2423,06 57 05.68,+24 23 55.39
906,5BZUJ0658-5840,06 58 13.78,-58 40 27.58
907,5BZQJ0659-2745,06 59 49.87,-27 45 18.79
908,5BZBJ0700-6610,07 00 31.24,-66 10 45.19
909,5BZQJ0701-4634,07 01 34.55,-46 34 36.58
910,5BZQJ0702+8549,07 02 32.71,+85 49 52.28
911,5BZBJ0702-1951,07 02 42.89,-19 51 21.99
912,5BZBJ0706+3744,07 06 31.68,+37 44 36.31
913,5BZBJ0706+7741,07 06 51.31,+77 41 36.99
914,5BZBJ0707+6110,07 07 00.61,+61 10 11.6
915,5BZBJ0708+2241,07 08 58.29,+22 41 35.48
916,5BZGJ0709+5010,07 09 34.19,+50 10 56.1
917,5BZUJ0709-0255,07 09 45.05,-02 55 17.5
918,5BZBJ0710+5908,07 10 30.05,+59 08 20.18
919,5BZQJ0710+4220,07 10 44.33,+42 20 54.99
920,5BZBJ0710+4732,07 10 46.09,+47 32 11.11
921,5BZBJ0712+5719,07 12 18.9,+57 19 47.99
922,5BZBJ0712+5033,07 12 43.67,+50 33 22.71
923,5BZUJ0713+4349,07 13 38.16,+43 49 17.0
924,5BZQJ0713+1935,07 13 55.67,+19 35 00.38
925,5BZQJ0714+3534,07 14 24.82,+35 34 39.79
926,5BZQJ0717+4538,07 17 51.84,+45 38 03.3
927,5BZBJ0718-4319,07 18 43.63,-43 19 49.69
928,5BZQJ0719-6218,07 19 04.46,-62 18 02.41
929,5BZQJ0719+3307,07 19 19.42,+33 07 09.69
930,5BZQJ0721+0406,07 21 23.9,+04 06 44.2
931,5BZBJ0721+7120,07 21 53.45,+71 20 36.38
932,5BZQJ0722+3722,07 22 01.25,+37 22 28.59
933,5BZBJ0722-0731,07 22 59.68,-07 31 34.78
934,5BZBJ0723+5841,07 23 14.03,+58 41 20.11
935,5BZBJ0723-8247,07 23 39.41,-82 47 41.09
936,5BZQJ0723+2859,07 23 54.83,+28 59 29.9
937,5BZQJ0724-0715,07 24 17.28,-07 15 20.41
938,5BZBJ0724+2621,07 24 42.73,+26 21 30.59
939,5BZQJ0725+1425,07 25 16.8,+14 25 13.69
940,5BZUJ0725-0054,07 25 50.64,-00 54 56.48
941,5BZQJ0726+2153,07 26 14.26,+21 53 20.11
942,5BZQJ0726-4728,07 26 26.23,-47 28 53.39
943,5BZQJ0726+0636,07 26 36.35,+06 36 42.91
944,5BZBJ0726+3734,07 26 59.52,+37 34 23.01
945,5BZUJ0727+4844,07 27 03.1,+48 44 10.1
946,5BZQJ0728-4745,07 28 23.51,-47 45 16.99
947,5BZQJ0728+5701,07 28 49.62,+57 01 24.38
948,5BZUJ0729-1320,07 29 17.82,-13 20 02.29
949,5BZQJ0730-1141,07 30 19.11,-11 41 12.58
950,5BZBJ0730+3307,07 30 26.05,+33 07 22.9
951,5BZUJ0730-3208,07 30 38.29,-32 08 20.18
952,5BZQJ0730+4049,07 30 51.34,+40 49 50.59
953,5BZQJ0731+2451,07 31 33.74,+24 51 58.6
954,5BZBJ0731+2804,07 31 52.72,+28 04 33.09
955,5BZQJ0732+2548,07 32 56.28,+25 48 38.69
956,5BZBJ0733+3515,07 33 29.56,+35 15 42.8
957,5BZBJ0733+4111,07 33 46.8,+41 11 19.89
958,5BZQJ0733+5022,07 33 52.51,+50 22 09.08
959,5BZQJ0733+0456,07 33 57.45,+04 56 14.38
960,5BZQJ0735+4750,07 35 02.3,+47 50 08.41
961,5BZQJ0735+7115,07 35 02.34,+71 15 06.01
962,5BZQJ0736+2604,07 36 58.07,+26 04 49.9
963,5BZBJ0737+2846,07 37 01.85,+28 46 45.91
964,5BZBJ0737+3216,07 37 05.58,+32 16 32.01
965,5BZGJ0737+3517,07 37 20.92,+35 17 41.71
966,5BZGJ0737+5941,07 37 30.07,+59 41 03.19
967,5BZBJ0738+1742,07 38 07.38,+17 42 19.0
968,5BZQJ0738-6735,07 38 56.5,-67 35 50.78
969,5BZQJ0739+0137,07 39 18.03,+01 37 04.58
970,5BZQJ0740+2852,07 40 33.54,+28 52 47.31
971,5BZBJ0740+3226,07 40 54.59,+32 26 00.81
972,5BZGJ0741+3205,07 41 05.94,+32 05 44.01
973,5BZQJ0741+3112,07 41 10.69,+31 12 00.21
974,5BZQJ0741+2557,07 41 29.74,+25 57 32.29
975,5BZQJ0741-4709,07 41 45.24,-47 09 25.99
976,5BZQJ0742+4900,07 42 02.75,+49 00 15.58
977,5BZQJ0742+3944,07 42 37.38,+39 44 35.7
978,5BZUJ0742+5444,07 42 39.78,+54 44 24.68
979,5BZUJ0742+3744,07 42 42.18,+37 44 02.11
980,5BZBJ0742+3018,07 42 42.91,+30 18 35.99
981,5BZBJ0743+1714,07 43 05.1,+17 14 24.39
982,5BZQJ0743-5619,07 43 20.47,-56 19 32.98
983,5BZQJ0743-6726,07 43 31.61,-67 26 25.51
984,5BZQJ0743+2328,07 43 44.97,+23 28 38.99
985,5BZBJ0744+7433,07 44 05.35,+74 33 58.21
986,5BZQJ0744+2920,07 44 51.36,+29 20 06.1
987,5BZGJ0745+3312,07 45 04.82,+33 12 56.41
988,5BZQJ0745+1011,07 45 33.06,+10 11 12.69
989,5BZQJ0745-0044,07 45 54.07,-00 44 17.48
990,5BZBJ0745+2226,07 45 59.17,+22 26 50.89
991,5BZQJ0745+3313,07 45 59.32,+33 13 34.1
992,5BZBJ0746-1555,07 46 18.23,-15 55 34.71
993,5BZQJ0746+2549,07 46 25.86,+25 49 02.1
994,5BZQJ0746-5618,07 46 58.21,-56 18 33.51
995,5BZQJ0747-6744,07 47 04.99,-67 44 40.3
996,5BZBJ0747+7639,07 47 14.6,+76 39 17.31
997,5BZUJ0747+0905,07 47 22.21,+09 05 53.3
998,5BZQJ0748-5258,07 48 12.66,-52 58 31.79
999,5BZQJ0748+2400,07 48 36.11,+24 00 24.08
1000,5BZGJ0748+2115,07 48 43.48,+21 15 45.1
1001,5BZQJ0749+4510,07 49 06.49,+45 10 33.81
1002,5BZGJ0749+2313,07 49 13.99,+23 13 16.71
1003,5BZQJ0749+7420,07 49 22.45,+74 20 41.6
1004,5BZBJ0749+7451,07 49 29.57,+74 51 44.78
1005,5BZQJ0750+1823,07 50 00.33,+18 23 11.4
1006,5BZQJ0750+4814,07 50 20.44,+48 14 53.59
1007,5BZQJ0750+1021,07 50 32.88,+10 21 26.71
1008,5BZQJ0750+1231,07 50 52.04,+12 31 04.8
1009,5BZQJ0750-6726,07 50 59.54,-67 26 22.59
1010,5BZGJ0751+2913,07 51 09.56,+29 13 35.5
1011,5BZQJ0751-0046,07 51 10.2,-00 46 51.09
1012,5BZGJ0751+1730,07 51 25.07,+17 30 51.08
1013,5BZBJ0751+3928,07 51 44.94,+39 28 17.61
1014,5BZQJ0751+3313,07 51 53.66,+33 13 19.81
1015,5BZQJ0752+3730,07 52 40.91,+37 30 24.29
1016,5BZBJ0753+5352,07 53 01.38,+53 52 59.59
1017,5BZGJ0753+2921,07 53 24.6,+29 21 31.89
1018,5BZGJ0754+4202,07 54 00.66,+42 02 48.19
1019,5BZBJ0754-1147,07 54 26.45,-11 47 16.9
1020,5BZGJ0754+4546,07 54 35.81,+45 46 45.08
1021,5BZGJ0754+3910,07 54 37.06,+39 10 47.78
1022,5BZBJ0754+4823,07 54 45.66,+48 23 50.71
1023,5BZQJ0754+3033,07 54 48.84,+30 33 55.0
1024,5BZBJ0755+3726,07 55 23.1,+37 26 18.81
1025,5BZBJ0756+4140,07 56 02.73,+41 40 39.79
1026,5BZGJ0756+3834,07 56 07.06,+38 34 00.98
1027,5BZQJ0756-1542,07 56 50.7,-15 42 05.39
1028,5BZBJ0757+0956,07 57 06.64,+09 56 34.9
1029,5BZGJ0758+2705,07 58 46.98,+27 05 15.5
1030,5BZBJ0800+6210,08 00 04.14,+62 10 14.3
1031,5BZBJ0800+1645,08 00 18.78,+16 45 56.98
1032,5BZQJ0800+5010,08 00 36.0,+50 10 44.4
1033,5BZBJ0801+6444,08 01 02.15,+64 44 49.59
1034,5BZBJ0801+4401,08 01 08.27,+44 01 10.3
1035,5BZBJ0801+1336,08 01 15.05,+13 36 42.58
1036,5BZBJ0802+1006,08 02 04.81,+10 06 37.9
1037,5BZQJ0802+1809,08 02 48.04,+18 09 48.99
1038,5BZBJ0803+2437,08 03 07.3,+24 37 50.91
1039,5BZBJ0803+4816,08 03 23.03,+48 16 17.9
1040,5BZUJ0804-1712,08 04 33.7,-17 12 04.21
1041,5BZQJ0805+6144,08 05 18.14,+61 44 24.0
1042,5BZBJ0805+7534,08 05 26.63,+75 34 24.99
1043,5BZBJ0806+1330,08 06 15.3,+13 30 20.01
1044,5BZBJ0806+5931,08 06 25.92,+59 31 07.1
1045,5BZQJ0806+4504,08 06 33.47,+45 04 32.41
1046,5BZQJ0807+5117,08 07 01.0,+51 17 38.68
1047,5BZBJ0807-0541,08 07 09.61,-05 41 13.88
1048,5BZQJ0808+4752,08 08 14.7,+47 52 44.68
1049,5BZQJ0808-0751,08 08 15.54,-07 51 09.9
1050,5BZQJ0808+7315,08 08 16.37,+73 15 12.2
1051,5BZQJ0808+4950,08 08 39.65,+49 50 36.99
1052,5BZQJ0808+4052,08 08 56.63,+40 52 44.9
1053,5BZGJ0809+3122,08 09 13.4,+31 22 23.01
1054,5BZGJ0809+3455,08 09 38.9,+34 55 37.41
1055,5BZQJ0809+5341,08 09 41.71,+53 41 25.11
1056,5BZBJ0809+5218,08 09 49.19,+52 18 58.39
1057,5BZQJ0810+3847,08 10 09.98,+38 47 57.58
1058,5BZGJ0810+4911,08 10 54.6,+49 11 03.91
1059,5BZGJ0810+2846,08 10 58.19,+28 46 18.58
1060,5BZQJ0810+4134,08 10 59.0,+41 34 03.0
1061,5BZQJ0811+5714,08 11 00.6,+57 14 12.51
1062,5BZBJ0811-7530,08 11 03.23,-75 30 27.9
1063,5BZQJ0811+4533,08 11 08.76,+45 33 48.81
1064,5BZBJ0811+0146,08 11 26.71,+01 46 52.28
1065,5BZQJ0811+4831,08 11 37.21,+48 31 33.99
1066,5BZBJ0812+1141,08 12 26.01,+11 41 58.59
1067,5BZQJ0812-1810,08 12 28.51,-18 10 42.81
1068,5BZBJ0812+6509,08 12 40.84,+65 09 10.9
1069,5BZBJ0812+5554,08 12 51.43,+55 54 21.88
1070,5BZQJ0813+2542,08 13 03.83,+25 42 11.19
1071,5BZQJ0814+3237,08 14 09.22,+32 37 32.01
1072,5BZBJ0814-1012,08 14 11.69,-10 12 10.29
1073,5BZBJ0814+2940,08 14 21.25,+29 40 21.28
1074,5BZGJ0814+0857,08 14 21.65,+08 57 06.4
1075,5BZBJ0814+6431,08 14 39.18,+64 31 22.11
1076,5BZQJ0815+3635,08 15 25.93,+36 35 15.21
1077,5BZGJ0816-0735,08 16 04.19,-07 35 59.71
1078,5BZBJ0816+4910,08 16 09.56,+49 10 04.4
1079,5BZBJ0816+5739,08 16 22.7,+57 39 09.28
1080,5BZBJ0816-1311,08 16 27.2,-13 11 52.58
1081,5BZBJ0816+6208,08 16 43.09,+62 08 29.18
1082,5BZBJ0816+2051,08 16 49.78,+20 51 06.51
1083,5BZBJ0817-0933,08 17 49.75,-09 33 30.6
1084,5BZBJ0817+3243,08 17 50.99,+32 43 40.8
1085,5BZBJ0818+4222,08 18 16.0,+42 22 45.58
1086,5BZBJ0818+2814,08 18 27.35,+28 14 02.9
1087,5BZBJ0818+3153,08 18 40.06,+31 53 48.19
1088,5BZQJ0819+3226,08 19 02.33,+32 26 37.28
1089,5BZBJ0819-0756,08 19 17.58,-07 56 26.01
1090,5BZBJ0819+2747,08 19 18.85,+27 47 30.69
1091,5BZBJ0819+4037,08 19 25.9,+40 37 44.0
1092,5BZBJ0819+1429,08 19 31.59,+14 29 37.6
1093,5BZBJ0820+3640,08 20 20.19,+36 40 04.58
1094,5BZGJ0820+4853,08 20 28.09,+48 53 47.4
1095,5BZBJ0820+2353,08 20 51.19,+23 53 45.38
1096,5BZBJ0820-1258,08 20 57.45,-12 58 59.08
1097,5BZQJ0821-0323,08 21 40.03,-03 23 12.69
1098,5BZQJ0821+5031,08 21 53.81,+50 31 20.89
1099,5BZQJ0822+4041,08 22 57.54,+40 41 49.81
1100,5BZBJ0823+1125,08 23 20.56,+11 25 51.31
1101,5BZGJ0823+1524,08 23 23.24,+15 24 47.91
1102,5BZBJ0823+2223,08 23 24.76,+22 23 03.4
1103,5BZQJ0823+2928,08 23 41.05,+29 28 28.19
1104,5BZQJ0824+5552,08 24 47.23,+55 52 42.88
1105,5BZQJ0824-1527,08 24 51.61,-15 27 45.89
1106,5BZQJ0824+3916,08 24 55.48,+39 16 41.98
1107,5BZQJ0825+1332,08 25 11.93,+13 32 32.78
1108,5BZQJ0825+6157,08 25 38.62,+61 57 28.69
1109,5BZQJ0825+2704,08 25 47.39,+27 04 22.11
1110,5BZBJ0825+0309,08 25 50.34,+03 09 24.4
1111,5BZBJ0826-2230,08 26 01.57,-22 30 27.21
1112,5BZBJ0826+4130,08 26 03.95,+41 30 43.88
1113,5BZBJ0827+0841,08 27 07.08,+08 41 21.51
1114,5BZQJ0827+3525,08 27 38.59,+35 25 05.19
1115,5BZBJ0828+2312,08 28 01.14,+23 12 17.78
1116,5BZGJ0828+4153,08 28 14.21,+41 53 52.11
1117,5BZGJ0829+1754,08 29 04.82,+17 54 15.91
1118,5BZGJ0830+3923,08 30 19.36,+39 23 46.6
1119,5BZQJ0830-0636,08 30 49.74,-06 36 20.01
1120,5BZQJ0830+2410,08 30 52.08,+24 10 59.91
1121,5BZGJ0831+5400,08 31 00.36,+54 00 23.5
1122,5BZQJ0831-2228,08 31 09.14,-22 28 26.79
1123,5BZBJ0831+1746,08 31 33.06,+17 46 30.68
1124,5BZGJ0831+4608,08 31 39.81,+46 08 00.99
1125,5BZBJ0831+0429,08 31 48.88,+04 29 39.08
1126,5BZQJ0831+0847,08 31 55.08,+08 47 43.58
1127,5BZBJ0832+4913,08 32 23.21,+49 13 21.21
1128,5BZBJ0832+3300,08 32 51.46,+33 00 11.01
1129,5BZQJ0833+0350,08 33 18.93,+03 50 32.49
1130,5BZQJ0833-7305,08 33 43.14,-73 05 26.19
1131,5BZQJ0833+4224,08 33 53.88,+42 24 01.9
1132,5BZBJ0833+4726,08 33 57.07,+47 26 53.01
1133,5BZQJ0834+6019,08 34 17.54,+60 19 47.09
1134,5BZBJ0834+1825,08 34 17.59,+18 25 01.81
1135,5BZQJ0834-2241,08 34 44.17,-22 41 12.8
1136,5BZGJ0834+5534,08 34 54.96,+55 34 22.0
1137,5BZBJ0834+4403,08 34 58.19,+44 03 38.3
1138,5BZBJ0835+0937,08 35 43.2,+09 37 18.01
1139,5BZQJ0835+6835,08 35 47.63,+68 35 12.01
1140,5BZGJ0835+1517,08 35 48.13,+15 17 17.08
1141,5BZQJ0836+0053,08 36 15.81,+00 53 00.49
1142,5BZQJ0836+2728,08 36 22.88,+27 28 52.6
1143,5BZQJ0836+4125,08 36 36.9,+41 25 54.8
1144,5BZQJ0836-2016,08 36 39.2,-20 16 59.59
1145,5BZQJ0836-2233,08 36 50.76,-22 33 10.11
1146,5BZQJ0837+5825,08 37 22.42,+58 25 02.31
1147,5BZBJ0837+1458,08 37 24.71,+14 58 19.81
1148,5BZQJ0837+2454,08 37 40.24,+24 54 22.89
1149,5BZBJ0837+1759,08 37 43.99,+17 59 20.0
1150,5BZGJ0839+4015,08 39 03.08,+40 15 45.79
1151,5BZBJ0839+3618,08 39 18.76,+36 18 55.69
1152,5BZBJ0839+1802,08 39 30.71,+18 02 47.18
1153,5BZBJ0839+3540,08 39 43.37,+35 40 01.48
1154,5BZQJ0839+5112,08 39 46.2,+51 12 02.8
1155,5BZUJ0839+0204,08 39 47.39,+02 04 34.1
1156,5BZBJ0839+0319,08 39 49.25,+03 19 54.19
1157,5BZQJ0839+0104,08 39 49.61,+01 04 26.9
1158,5BZBJ0840+3440,08 40 13.03,+34 40 27.08
1159,5BZUJ0840+1312,08 40 47.59,+13 12 23.5
1160,5BZBJ0840+3721,08 40 56.05,+37 21 06.01
1161,5BZBJ0841-3555,08 41 21.62,-35 55 05.8
1162,5BZQJ0841+7053,08 41 24.35,+70 53 42.28
1163,5BZQJ0842+4018,08 42 03.73,+40 18 31.5
1164,5BZQJ0842+1835,08 42 05.1,+18 35 41.2
1165,5BZQJ0842+4525,08 42 15.35,+45 25 44.29
1166,5BZBJ0842+0252,08 42 25.5,+02 52 52.78
1167,5BZQJ0843+3742,08 43 52.85,+37 42 28.29
1168,5BZBJ0844+5312,08 44 11.7,+53 12 50.68
1169,5BZQJ0845-6527,08 45 11.34,-65 27 23.18
1170,5BZQJ0845-5555,08 45 49.67,-55 55 26.68
1171,5BZQJ0846+0641,08 46 49.99,+06 41 49.2
1172,5BZUJ0847-2337,08 47 01.57,-23 37 01.81
1173,5BZBJ0847+1133,08 47 12.93,+11 33 50.29
1174,5BZBJ0847-0703,08 47 56.74,-07 03 16.88
1175,5BZQJ0847-0520,08 47 58.74,-05 20 33.79
1176,5BZGJ0848+8111,08 48 28.01,+81 11 47.61
1177,5BZBJ0848+0506,08 48 39.65,+05 06 17.89
1178,5BZBJ0848+6606,08 48 54.6,+66 06 09.28
1179,5BZBJ0849+0206,08 49 08.82,+02 06 22.5
1180,5BZBJ0849+0455,08 49 32.54,+04 55 07.89
1181,5BZUJ0849+5108,08 49 57.99,+51 08 29.0
1182,5BZBJ0850+4854,08 50 00.35,+48 54 58.78
1183,5BZGJ0850+4036,08 50 04.67,+40 36 08.09
1184,5BZQJ0850-1213,08 50 09.64,-12 13 35.39
1185,5BZQJ0850+5931,08 50 10.24,+59 31 18.01
1186,5BZGJ0850+3455,08 50 36.19,+34 55 22.8
1187,5BZBJ0851+0549,08 51 02.99,+05 49 05.91
1188,5BZBJ0851+5528,08 51 35.93,+55 28 34.71
1189,5BZQJ0852+2833,08 52 05.15,+28 33 59.61
1190,5BZQJ0852+4734,08 52 20.52,+47 34 59.01
1191,5BZGJ0852+2433,08 52 29.1,+24 33 54.39
1192,5BZQJ0853-0150,08 53 01.32,-01 50 48.01
1193,5BZQJ0853+2813,08 53 17.82,+28 13 50.08
1194,5BZBJ0854+4408,08 54 09.89,+44 08 30.4
1195,5BZBJ0854+2754,08 54 10.18,+27 54 21.7
1196,5BZQJ0854+5327,08 54 17.59,+53 27 35.31
1197,5BZQJ0854+5757,08 54 41.99,+57 57 29.98
1198,5BZBJ0854+2006,08 54 48.88,+20 06 30.81
1199,5BZBJ0854+6218,08 54 50.56,+62 18 50.18
1200,5BZBJ0855+2601,08 55 06.41,+26 01 42.2
1201,5BZBJ0855+4237,08 55 48.59,+42 37 13.0
1202,5BZQJ0855-0021,08 55 54.47,-00 21 46.18
1203,5BZGJ0856+5418,08 56 08.34,+54 18 55.4
1204,5BZUJ0856+0140,08 56 38.51,+01 40 00.91
1205,5BZBJ0856+2057,08 56 39.75,+20 57 43.48
1206,5BZBJ0856-1105,08 56 41.81,-11 05 14.38
1207,5BZQJ0856+1739,08 56 56.68,+17 39 47.91
1208,5BZQJ0856+2111,08 56 57.23,+21 11 43.79
1209,5BZGJ0857+0627,08 57 29.75,+06 27 25.19
1210,5BZBJ0857+0135,08 57 49.8,+01 35 30.3
1211,5BZQJ0858-1950,08 58 05.35,-19 50 36.88
1212,5BZBJ0859+8345,08 59 10.26,+83 45 00.21
1213,5BZBJ0859+0047,08 59 20.56,+00 47 12.08
1214,5BZBJ0859+6217,08 59 30.62,+62 17 30.51
1215,5BZQJ0900+4108,09 00 21.42,+41 08 22.88
1216,5BZBJ0900+6742,09 00 38.74,+67 42 23.4
1217,5BZQJ0900-2808,09 00 40.03,-28 08 20.29
1218,5BZQJ0901+0448,09 01 11.86,+04 48 58.89
1219,5BZQJ0901-0037,09 01 25.84,-00 37 03.21
1220,5BZBJ0901+3752,09 01 39.02,+37 52 46.3
1221,5BZQJ0901-0702,09 01 44.23,-07 02 16.11
1222,5BZQJ0901+6551,09 01 46.67,+65 51 50.0
1223,5BZBJ0902+4544,09 02 07.94,+45 44 32.99
1224,5BZQJ0902-1415,09 02 16.82,-14 15 30.88
1225,5BZQJ0902+5402,09 02 19.29,+54 02 57.3
1226,5BZBJ0902+2050,09 02 26.9,+20 50 46.39
1227,5BZQJ0902+4310,09 02 30.91,+43 10 14.19
1228,5BZQJ0903-1721,09 03 00.01,-17 21 05.18
1229,5BZQJ0903+4651,09 03 03.99,+46 51 04.1
1230,5BZGJ0903+4055,09 03 14.71,+40 55 59.7
1231,5BZBJ0903+2853,09 03 34.26,+28 53 59.2
1232,5BZQJ0903+6757,09 03 53.15,+67 57 22.71
1233,5BZQJ0903+5151,09 03 58.56,+51 51 00.68
1234,5BZQJ0904-2552,09 04 52.19,-25 52 51.81
1235,5BZUJ0904-5735,09 04 53.17,-57 35 05.78
1236,5BZBJ0905+1358,09 05 34.98,+13 58 06.38
1237,5BZGJ0905+4705,09 05 36.45,+47 05 46.39
1238,5BZQJ0905+2849,09 05 41.76,+28 49 28.3
1239,5BZGJ0906+4636,09 06 15.54,+46 36 19.0
1240,5BZBJ0906-0905,09 06 18.05,-09 05 44.91
1241,5BZQJ0906+6930,09 06 30.75,+69 30 30.38
1242,5BZQJ0906-2019,09 06 51.3,-20 19 54.69
1243,5BZGJ0906+4124,09 06 52.79,+41 24 29.59
1244,5BZBJ0907+0857,09 07 00.07,+08 57 51.29
1245,5BZUJ0908-0959,09 08 02.21,-09 59 37.6
1246,5BZQJ0908+4150,09 08 35.86,+41 50 46.21
1247,5BZBJ0908+1609,09 08 55.92,+16 09 54.79
1248,5BZBJ0909+2311,09 09 00.61,+23 11 12.91
1249,5BZQJ0909+0121,09 09 10.08,+01 21 35.6
1250,5BZQJ0909-7445,09 09 20.94,-74 45 08.1
1251,5BZQJ0909+5216,09 09 24.67,+52 16 32.59
1252,5BZUJ0909+4253,09 09 33.48,+42 53 46.5
1253,5BZBJ0909+0200,09 09 39.84,+02 00 05.29
1254,5BZQJ0909-0231,09 09 44.92,-02 31 30.28
1255,5BZBJ0909+3106,09 09 53.28,+31 06 03.09
1256,5BZBJ0910+3329,09 10 37.06,+33 29 24.5
1257,5BZQJ0910+2248,09 10 42.12,+22 48 35.6
1258,5BZBJ0910+2548,09 10 45.29,+25 48 12.81
1259,5BZBJ0910+3902,09 10 52.03,+39 02 02.11
1260,5BZBJ0911+3349,09 11 47.76,+33 49 16.71
1261,5BZBJ0911+2949,09 11 51.34,+29 49 29.38
1262,5BZGJ0912+5320,09 12 01.68,+53 20 35.69
1263,5BZBJ0912+2759,09 12 11.21,+27 59 27.88
1264,5BZQJ0912+4126,09 12 11.6,+41 26 09.31
1265,5BZGJ0912+4235,09 12 27.23,+42 35 45.09
1266,5BZGJ0912+1555,09 12 30.6,+15 55 27.98
1267,5BZBJ0913-2103,09 13 00.17,-21 03 20.91
1268,5BZBJ0913+8133,09 13 22.37,+81 33 05.0
1269,5BZQJ0914+0245,09 14 37.91,+02 45 59.18
1270,5BZQJ0915+0007,09 15 51.7,+00 07 13.29
1271,5BZBJ0915+2933,09 15 52.39,+29 33 24.01
1272,5BZBJ0915+4738,09 15 52.95,+47 38 20.11
1273,5BZQJ0916+3854,09 16 48.9,+38 54 28.18
1274,5BZGJ0916+5238,09 16 51.94,+52 38 28.39
1275,5BZQJ0917-2131,09 17 27.01,-21 31 34.5
1276,5BZBJ0917+4029,09 17 40.12,+40 29 29.79
1277,5BZQJ0918+0636,09 18 24.37,+06 36 53.31
1278,5BZBJ0918+0213,09 18 48.58,+02 13 21.79
1279,5BZBJ0919+3324,09 19 08.78,+33 24 41.9
1280,5BZBJ0919+1106,09 19 25.66,+11 06 59.5
1281,5BZBJ0920+3910,09 20 15.67,+39 10 13.9
1282,5BZQJ0920-2956,09 20 43.19,-29 56 30.29
1283,5BZQJ0920+4441,09 20 58.45,+44 41 53.98
1284,5BZQJ0921+7136,09 21 23.94,+71 36 12.38
1285,5BZQJ0921-2618,09 21 29.34,-26 18 43.41
1286,5BZQJ0921+6215,09 21 36.23,+62 15 52.19
1287,5BZUJ0921-8209,09 21 42.7,-82 09 36.21
1288,5BZBJ0921+2335,09 21 45.36,+23 35 48.08
1289,5BZBJ0921+2455,09 21 46.79,+24 55 41.3
1290,5BZBJ0922+2346,09 22 16.38,+23 46 45.51
1291,5BZQJ0922-0529,09 22 23.67,-05 29 07.18
1292,5BZUJ0923+4125,09 23 31.3,+41 25 27.4
1293,5BZUJ0923-2135,09 23 38.88,-21 35 47.11
1294,5BZQJ0923+2815,09 23 51.52,+28 15 25.09
1295,5BZBJ0924+0533,09 24 01.03,+05 33 45.39
1296,5BZBJ0924+5300,09 24 05.81,+53 00 33.8
1297,5BZQJ0924+0309,09 24 14.7,+03 09 00.79
1298,5BZQJ0925+0019,09 25 07.81,+00 19 13.9
1299,5BZBJ0925+5958,09 25 42.89,+59 58 16.71
1300,5BZBJ0925+3127,09 25 43.65,+31 27 10.69
1301,5BZQJ0925+1658,09 25 49.96,+16 58 12.21
1302,5BZQJ0926+4029,09 26 00.42,+40 29 49.7
1303,5BZBJ0926+5411,09 26 38.87,+54 11 26.59
1304,5BZBJ0926+0803,09 26 42.18,+08 03 00.28
1305,5BZQJ0927+3902,09 27 03.0,+39 02 20.9
1306,5BZGJ0927+5327,09 27 10.6,+53 27 31.6
1307,5BZGJ0927+5545,09 27 40.63,+55 45 47.98
1308,5BZGJ0927-0900,09 27 46.9,-09 00 21.99
1309,5BZQJ0927-2034,09 27 51.82,-20 34 51.2
1310,5BZQJ0928+4446,09 28 24.13,+44 46 04.8
1311,5BZBJ0928+4048,09 28 37.43,+40 48 45.28
1312,5BZBJ0929+1945,09 29 02.41,+19 45 25.09
1313,5BZBJ0929+5013,09 29 15.43,+50 13 36.01
1314,5BZBJ0929+8612,09 29 43.06,+86 12 21.31
1315,5BZQJ0930+4644,09 30 35.08,+46 44 08.59
1316,5BZBJ0930+4950,09 30 37.56,+49 50 25.58
1317,5BZQJ0930+0034,09 30 52.25,+00 34 58.9
1318,5BZBJ0930+3503,09 30 55.27,+35 03 37.51
1319,5BZBJ0930+3933,09 30 56.83,+39 33 35.6
1320,5BZGJ0932+3630,09 32 09.6,+36 30 02.59
1321,5BZQJ0932-2016,09 32 19.59,-20 16 37.2
1322,5BZQJ0932-3405,09 32 36.48,-34 05 58.48
1323,5BZBJ0932+1042,09 32 39.35,+10 42 35.09
1324,5BZQJ0932+5306,09 32 41.15,+53 06 33.8
1325,5BZQJ0933+4615,09 33 09.31,+46 15 35.49
1326,5BZUJ0933+0003,09 33 10.56,+00 03 23.5
1327,5BZQJ0933-0819,09 33 17.1,-08 19 10.88
1328,5BZBJ0934+3926,09 34 06.66,+39 26 32.2
1329,5BZQJ0934+4908,09 34 15.76,+49 08 21.69
1330,5BZBJ0934-1721,09 34 30.18,-17 21 20.98
1331,5BZQJ0935-3332,09 35 09.23,-33 32 37.71
1332,5BZBJ0936+1850,09 36 27.66,+18 50 03.3
1333,5BZQJ0937+5008,09 37 12.32,+50 08 52.11
1334,5BZBJ0938+3717,09 38 07.86,+37 17 51.39
